YEAR,COUNTY,FREQUENCY
1998,Douglas,≤50
1998,DuPage,1311
1998,Edgar,≤50
1998,Edwards,≤50
1998,Effingham,≤50
1998,Fayette,≤50
1998,Ford,≤50
1998,Franklin,58
1998,Fulton,53
1998,Gallatin,≤50
1998,Greene,≤50
1998,Grundy,≤50
1998,Hamilton,≤50
1998,Hancock,≤50
1998,Hardin,≤50
1998,Henderson,≤50
1998,Henry,63
1998,Iroquois,≤50
1998,Jackson,183
1998,Jasper,≤50
1998,Jefferson,83
1998,Jersey,≤50
1998,Jo Daviess,≤50
1998,Johnson,≤50
1998,Kane,396
1998,Kankakee,141
1998,Kendall,≤50
1998,Knox,116
1998,Lake,925
1998,LaSalle,206
1998,Lawrence,≤50
1998,Lee,≤50
1998,Livingston,60
1998,Logan,≤50
1998,McDonough,76
1998,McHenry,430
1998,McLean,385
1998,Macon,261
1998,Macoupin,64
1998,Madison,740
1998,Marion,102
1998,Marshall,≤50
1998,Mason,≤50
1998,Massac,≤50
1998,Menard,≤50
1998,Mercer,≤50
1998,Monroe,≤50
1998,Montgomery,≤50
1998,Morgan,73
1998,Moultrie,≤50
1998,Ogle,95
1998,Peoria,644
1998,Perry,≤50
1998,Piatt,≤50
1998,Pike,≤50
1998,Pope,≤50
1998,Pulaski,≤50
1998,Putnam,≤50
1998,Randolph,≤50
1998,Richland,≤50
1998,Rock Island,120
1998,St. Clair,1057
1998,Saline,≤50
1998,Sangamon,449
1998,Schuyler,≤50
1998,Scott,≤50
1998,Shelby,≤50
1998,Stark,≤50
1998,Stephenson,89
1998,Tazewell,243
1998,Union,≤50
1998,Vermilion,181
1998,Wabash,≤50
1998,Warren,≤50
1998,Washington,≤50
1998,Wayne,≤50
1998,White,≤50
1998,Whiteside,92
1998,Will,429
1998,Williamson,97
1998,Winnebago,782
1998,Woodford,≤50
1999,Adams,81
1999,Alexander,≤50
1999,Bond,≤50
1999,Boone,91
1999,Brown,≤50
1999,Bureau,≤50
1999,Calhoun,≤50
1999,Carroll,≤50
1999,Cass,≤50
1999,Champaign,534
1999,Christian,≤50
1999,Clark,≤50
1999,Clay,≤50
1999,Clinton,≤50
1999,Coles,114
1999,Cook,26685
1999,Crawford,≤50
1999,Cumberland,≤50
1999,DeKalb,190
1999,DeWitt,≤50
1999,Douglas,≤50
1999,DuPage,1434
1999,Edgar,≤50
1999,Edwards,≤50
1999,Effingham,≤50
1999,Fayette,≤50
1999,Ford,≤50
1999,Franklin,84
1999,Fulton,≤50
1999,Gallatin,≤50
1999,Greene,≤50
1999,Grundy,≤50
1999,Hamilton,≤50
1999,Hancock,≤50
1999,Hardin,≤50
1999,Henderson,≤50
1999,Henry,≤50
1999,Iroquois,≤50
1999,Jackson,156
1999,Jasper,≤50
1999,Jefferson,≤50
1999,Jersey,≤50
1999,Jo Daviess,≤50
1999,Johnson,≤50
1999,Kane,549
1999,Kankakee,156
1999,Kendall,≤50
1999,Knox,72
1999,Lake,1167
1999,LaSalle,149
1999,Lawrence,≤50
1999,Lee,59
1999,Livingston,≤50
1999,Logan,≤50
1999,McDonough,78
1999,McHenry,560
1999,McLean,330
1999,Macon,221
1999,Macoupin,≤50
1999,Madison,731
1999,Marion,≤50
1999,Marshall,≤50
1999,Mason,≤50
1999,Massac,≤50
1999,Menard,≤50
1999,Mercer,≤50
1999,Monroe,≤50
1999,Montgomery,≤50
1999,Morgan,≤50
1999,Moultrie,≤50
1999,Ogle,80
1999,Peoria,494
1999,Perry,≤50
1999,Piatt,≤50
1999,Pike,≤50
1999,Pope,≤50
1999,Pulaski,≤50
1999,Putnam,≤50
1999,Randolph,≤50
1999,Richland,≤50
1999,Rock Island,78
1999,St. Clair,965
1999,Saline,≤50
1999,Sangamon,382
1999,Schuyler,≤50
1999,Scott,≤50
1999,Shelby,≤50
1999,Stark,≤50
1999,Stephenson,77
1999,Tazewell,210
1999,Union,≤50
1999,Vermilion,150
1999,Wabash,≤50
1999,Warren,≤50
1999,Washington,≤50
1999,Wayne,≤50
1999,White,≤50
1999,Whiteside,85
1999,Will,500
1999,Williamson,≤50
1999,Winnebago,735
1999,Woodford,≤50
2000,Adams,59
2000,Alexander,≤50
2000,Bond,≤50
2000,Boone,93
2000,Brown,≤50
2000,Bureau,≤50
2000,Calhoun,≤50
2000,Carroll,≤50
2000,Cass,≤50
2000,Champaign,568
2000,Christian,≤50
2000,Clark,≤50
2000,Clay,≤50
2000,Clinton,≤50
2000,Coles,99
2000,Cook,25472
2000,Crawford,≤50
2000,Cumberland,≤50
2000,DeKalb,153
2000,DeWitt,≤50
2000,Douglas,≤50
2000,DuPage,1808
2000,Edgar,≤50
2000,Edwards,≤50
2000,Effingham,≤50
2000,Fayette,≤50
2000,Ford,≤50
2000,Franklin,52
2000,Fulton,≤50
2000,Gallatin,≤50
2000,Greene,≤50
2000,Grundy,≤50
2000,Hamilton,≤50
2000,Hancock,≤50
2000,Hardin,≤50
2000,Henderson,≤50
2000,Henry,52
2000,Iroquois,≤50
2000,Jackson,122
2000,Jasper,≤50
2000,Jefferson,≤50
2000,Jersey,≤50
2000,Jo Daviess,≤50
2000,Johnson,≤50
2000,Kane,541
2000,Kankakee,119
2000,Kendall,≤50
2000,Knox,109
2000,Lake,1359
2000,LaSalle,156
2000,Lawrence,≤50
2000,Lee,≤50
2000,Livingston,≤50
2000,Logan,≤50
2000,McDonough,78
2000,McHenry,548
2000,McLean,370
2000,Macon,180
2000,Macoupin,≤50
2000,Madison,561
2000,Marion,≤50
2000,Marshall,≤50
2000,Mason,≤50
2000,Massac,≤50
2000,Menard,≤50
2000,Mercer,≤50
2000,Monroe,≤50
2000,Montgomery,≤50
2000,Morgan,≤50
2000,Moultrie,≤50
2000,Ogle,92
2000,Peoria,548
2000,Perry,≤50
2000,Piatt,≤50
2000,Pike,≤50
2000,Pope,≤50
2000,Pulaski,≤50
2000,Putnam,≤50
2000,Randolph,≤50
2000,Richland,≤50
2000,Rock Island,58
2000,St. Clair,757
2000,Saline,≤50
2000,Sangamon,337
2000,Schuyler,≤50
2000,Scott,≤50
2000,Shelby,≤50
2000,Stark,≤50
2000,Stephenson,79
2000,Tazewell,228
2000,Union,≤50
2000,Vermilion,156
2000,Wabash,≤50
2000,Warren,≤50
2000,Washington,≤50
2000,Wayne,≤50
2000,White,≤50
2000,Whiteside,55
2000,Will,549
2000,Williamson,≤50
2000,Winnebago,798
2000,Woodford,≤50
2001,Adams,≤50
2001,Alexander,≤50
2001,Bond,≤50
2001,Boone,68
2001,Brown,≤50
2001,Bureau,≤50
2001,Calhoun,≤50
2001,Carroll,≤50
2001,Cass,≤50
2001,Champaign,521
2001,Christian,≤50
2001,Clark,≤50
2001,Clay,≤50
2001,Clinton,≤50
2001,Coles,102
2001,Cook,24714
2001,Crawford,≤50
2001,Cumberland,≤50
2001,DeKalb,184
2001,DeWitt,≤50
2001,Douglas,≤50
2001,DuPage,2156
2001,Edgar,≤50
2001,Edwards,≤50
2001,Effingham,≤50
2001,Fayette,≤50
2001,Ford,≤50
2001,Franklin,≤50
2001,Fulton,≤50
2001,Gallatin,≤50
2001,Greene,≤50
2001,Grundy,≤50
2001,Hamilton,≤50
2001,Hancock,≤50
2001,Hardin,≤50
2001,Henderson,≤50
2001,Henry,≤50
2001,Iroquois,≤50
2001,Jackson,88
2001,Jasper,≤50
2001,Jefferson,≤50
2001,Jersey,≤50
2001,Jo Daviess,≤50
2001,Johnson,≤50
2001,Kane,597
2001,Kankakee,127
2001,Kendall,≤50
2001,Knox,79
2001,Lake,1272
2001,LaSalle,169
2001,Lawrence,≤50
2001,Lee,54
2001,Livingston,≤50
2001,Logan,≤50
2001,McDonough,≤50
2001,McHenry,510
2001,McLean,326
2001,Macon,215
2001,Macoupin,≤50
2001,Madison,539
2001,Marion,≤50
2001,Marshall,≤50
2001,Mason,≤50
2001,Massac,≤50
2001,Menard,≤50
2001,Mercer,≤50
2001,Monroe,≤50
2001,Montgomery,≤50
2001,Morgan,≤50
2001,Moultrie,≤50
2001,Ogle,84
2001,Peoria,435
2001,Perry,≤50
2001,Piatt,≤50
2001,Pike,≤50
2001,Pope,≤50
2001,Pulaski,≤50
2001,Putnam,≤50
2001,Randolph,≤50
2001,Richland,≤50
2001,Rock Island,≤50
2001,St. Clair,756
2001,Saline,≤50
2001,Sangamon,342
2001,Schuyler,≤50
2001,Scott,≤50
2001,Shelby,≤50
2001,Stark,≤50
2001,Stephenson,98
2001,Tazewell,206
2001,Union,≤50
2001,Vermilion,131
2001,Wabash,≤50
2001,Warren,≤50
2001,Washington,≤50
2001,Wayne,≤50
2001,White,≤50
2001,Whiteside,62
2001,Will,897
2001,Williamson,≤50
2001,Winnebago,800
2001,Woodford,≤50
2002,Adams,63
2002,Alexander,≤50
2002,Bond,≤50
2002,Boone,91
2002,Brown,≤50
2002,Bureau,55
2002,Calhoun,≤50
2002,Carroll,≤50
2002,Cass,≤50
2002,Champaign,437
2002,Christian,≤50
2002,Clark,≤50
2002,Clay,≤50
2002,Clinton,≤50
2002,Coles,95
2002,Cook,24739
2002,Crawford,≤50
2002,Cumberland,≤50
2002,DeKalb,192
2002,DeWitt,≤50
2002,Douglas,≤50
2002,DuPage,1989
2002,Edgar,≤50
2002,Edwards,≤50
2002,Effingham,≤50
2002,Fayette,≤50
2002,Ford,≤50
2002,Franklin,≤50
2002,Fulton,55
2002,Gallatin,≤50
2002,Greene,≤50
2002,Grundy,≤50
2002,Hamilton,≤50
2002,Hancock,≤50
2002,Hardin,≤50
2002,Henderson,≤50
2002,Henry,≤50
2002,Iroquois,≤50
2002,Jackson,111
2002,Jasper,≤50
2002,Jefferson,57
2002,Jersey,≤50
2002,Jo Daviess,≤50
2002,Johnson,≤50
2002,Kane,632
2002,Kankakee,125
2002,Kendall,55
2002,Knox,94
2002,Lake,1360
2002,LaSalle,160
2002,Lawrence,≤50
2002,Lee,≤50
2002,Livingston,≤50
2002,Logan,≤50
2002,McDonough,≤50
2002,McHenry,490
2002,McLean,328
2002,Macon,169
2002,Macoupin,≤50
2002,Madison,602
2002,Marion,60
2002,Marshall,≤50
2002,Mason,≤50
2002,Massac,≤50
2002,Menard,≤50
2002,Mercer,≤50
2002,Monroe,≤50
2002,Montgomery,≤50
2002,Morgan,≤50
2002,Moultrie,≤50
2002,Ogle,69
2002,Peoria,537
2002,Perry,≤50
2002,Piatt,≤50
2002,Pike,≤50
2002,Pope,≤50
2002,Pulaski,≤50
2002,Putnam,≤50
2002,Randolph,≤50
2002,Richland,≤50
2002,Rock Island,≤50
2002,St. Clair,815
2002,Saline,≤50
2002,Sangamon,362
2002,Schuyler,≤50
2002,Scott,≤50
2002,Shelby,≤50
2002,Stark,≤50
2002,Stephenson,74
2002,Tazewell,199
2002,Union,≤50
2002,Vermilion,110
2002,Wabash,≤50
2002,Warren,≤50
2002,Washington,≤50
2002,Wayne,≤50
2002,White,≤50
2002,Whiteside,60
2002,Will,986
2002,Williamson,74
2002,Winnebago,701
2002,Woodford,≤50
2003,Adams,57
2003,Alexander,58
2003,Bond,≤50
2003,Boone,78
2003,Brown,≤50
2003,Bureau,≤50
2003,Calhoun,≤50
2003,Carroll,≤50
2003,Cass,≤50
2003,Champaign,332
2003,Christian,≤50
2003,Clark,≤50
2003,Clay,≤50
2003,Clinton,≤50
2003,Coles,65
2003,Cook,21969
2003,Crawford,≤50
2003,Cumberland,≤50
2003,DeKalb,171
2003,DeWitt,≤50
2003,Douglas,≤50
2003,DuPage,2064
2003,Edgar,≤50
2003,Edwards,≤50
2003,Effingham,≤50
2003,Fayette,≤50
2003,Ford,≤50
2003,Franklin,≤50
2003,Fulton,≤50
2003,Gallatin,≤50
2003,Greene,≤50
2003,Grundy,≤50
2003,Hamilton,≤50
2003,Hancock,≤50
2003,Hardin,≤50
2003,Henderson,≤50
2003,Henry,51
2003,Iroquois,≤50
2003,Jackson,128
2003,Jasper,≤50
2003,Jefferson,≤50
2003,Jersey,≤50
2003,Jo Daviess,≤50
2003,Johnson,≤50
2003,Kane,612
2003,Kankakee,115
2003,Kendall,70
2003,Knox,89
2003,Lake,1248
2003,LaSalle,175
2003,Lawrence,≤50
2003,Lee,≤50
2003,Livingston,≤50
2003,Logan,≤50
2003,McDonough,52
2003,McHenry,451
2003,McLean,333
2003,Macon,153
2003,Macoupin,≤50
2003,Madison,642
2003,Marion,63
2003,Marshall,≤50
2003,Mason,≤50
2003,Massac,≤50
2003,Menard,≤50
2003,Mercer,≤50
2003,Monroe,≤50
2003,Montgomery,≤50
2003,Morgan,≤50
2003,Moultrie,≤50
2003,Ogle,74
2003,Peoria,561
2003,Perry,≤50
2003,Piatt,≤50
2003,Pike,≤50
2003,Pope,≤50
2003,Pulaski,≤50
2003,Putnam,≤50
2003,Randolph,≤50
2003,Richland,≤50
2003,Rock Island,≤50
2003,St. Clair,759
2003,Saline,≤50
2003,Sangamon,364
2003,Schuyler,≤50
2003,Scott,≤50
2003,Shelby,≤50
2003,Stark,≤50
2003,Stephenson,65
2003,Tazewell,175
2003,Union,≤50
2003,Vermilion,121
2003,Wabash,≤50
2003,Warren,≤50
2003,Washington,≤50
2003,Wayne,≤50
2003,White,≤50
2003,Whiteside,52
2003,Will,925
2003,Williamson,55
2003,Winnebago,631
2003,Woodford,≤50
2004,Adams,67
2004,Alexander,≤50
2004,Bond,≤50
2004,Boone,91
2004,Brown,≤50
2004,Bureau,≤50
2004,Calhoun,≤50
2004,Carroll,≤50
2004,Cass,≤50
2004,Champaign,450
2004,Christian,≤50
2004,Clark,≤50
2004,Clay,≤50
2004,Clinton,≤50
2004,Coles,82
2004,Cook,23462
2004,Crawford,≤50
2004,Cumberland,≤50
2004,DeKalb,167
2004,DeWitt,≤50
2004,Douglas,≤50
2004,DuPage,2032
2004,Edgar,≤50
2004,Edwards,≤50
2004,Effingham,≤50
2004,Fayette,≤50
2004,Ford,≤50
2004,Franklin,72
2004,Fulton,≤50
2004,Gallatin,≤50
2004,Greene,≤50
2004,Grundy,≤50
2004,Hamilton,≤50
2004,Hancock,≤50
2004,Hardin,≤50
2004,Henderson,≤50
2004,Henry,≤50
2004,Iroquois,≤50
2004,Jackson,126
2004,Jasper,≤50
2004,Jefferson,78
2004,Jersey,≤50
2004,Jo Daviess,≤50
2004,Johnson,≤50
2004,Kane,661
2004,Kankakee,85
2004,Kendall,55
2004,Knox,77
2004,Lake,1238
2004,LaSalle,174
2004,Lawrence,≤50
2004,Lee,≤50
2004,Livingston,≤50
2004,Logan,≤50
2004,McDonough,≤50
2004,McHenry,462
2004,McLean,277
2004,Macon,151
2004,Macoupin,≤50
2004,Madison,594
2004,Marion,56
2004,Marshall,≤50
2004,Mason,≤50
2004,Massac,≤50
2004,Menard,≤50
2004,Mercer,≤50
2004,Monroe,≤50
2004,Montgomery,≤50
2004,Morgan,≤50
2004,Moultrie,≤50
2004,Ogle,52
2004,Peoria,497
2004,Perry,≤50
2004,Piatt,≤50
2004,Pike,≤50
2004,Pope,≤50
2004,Pulaski,≤50
2004,Putnam,≤50
2004,Randolph,≤50
2004,Richland,≤50
2004,Rock Island,≤50
2004,St. Clair,748
2004,Saline,≤50
2004,Sangamon,358
2004,Schuyler,≤50
2004,Scott,≤50
2004,Shelby,≤50
2004,Stark,≤50
2004,Stephenson,52
2004,Tazewell,196
2004,Union,≤50
2004,Vermilion,118
2004,Wabash,≤50
2004,Warren,≤50
2004,Washington,≤50
2004,Wayne,≤50
2004,White,≤50
2004,Whiteside,≤50
2004,Will,985
2004,Williamson,67
2004,Winnebago,584
2004,Woodford,≤50
2005,Adams,58
2005,Alexander,≤50
2005,Bond,≤50
2005,Boone,82
2005,Brown,≤50
2005,Bureau,54
2005,Calhoun,≤50
2005,Carroll,≤50
2005,Cass,≤50
2005,Champaign,470
2005,Christian,≤50
2005,Clark,≤50
2005,Clay,≤50
2005,Clinton,≤50
2005,Coles,69
2005,Cook,22179
2005,Crawford,≤50
2005,Cumberland,≤50
2005,DeKalb,148
2005,DeWitt,≤50
2005,Douglas,≤50
2005,DuPage,1851
2005,Edgar,≤50
2005,Edwards,≤50
2005,Effingham,≤50
2005,Fayette,≤50
2005,Ford,≤50
2005,Franklin,≤50
2005,Fulton,≤50
2005,Gallatin,≤50
2005,Greene,≤50
2005,Grundy,≤50
2005,Hamilton,≤50
2005,Hancock,≤50
2005,Hardin,≤50
2005,Henderson,≤50
2005,Henry,≤50
2005,Iroquois,≤50
2005,Jackson,120
2005,Jasper,≤50
2005,Jefferson,108
2005,Jersey,≤50
2005,Jo Daviess,≤50
2005,Johnson,≤50
2005,Kane,733
2005,Kankakee,93
2005,Kendall,58
2005,Knox,62
2005,Lake,1207
2005,LaSalle,141
2005,Lawrence,≤50
2005,Lee,≤50
2005,Livingston,≤50
2005,Logan,≤50
2005,McDonough,≤50
2005,McHenry,486
2005,McLean,280
2005,Macon,155
2005,Macoupin,66
2005,Madison,523
2005,Marion,64
2005,Marshall,≤50
2005,Mason,≤50
2005,Massac,≤50
2005,Menard,≤50
2005,Mercer,≤50
2005,Monroe,≤50
2005,Montgomery,≤50
2005,Morgan,≤50
2005,Moultrie,≤50
2005,Ogle,57
2005,Peoria,498
2005,Perry,≤50
2005,Piatt,≤50
2005,Pike,≤50
2005,Pope,≤50
2005,Pulaski,≤50
2005,Putnam,≤50
2005,Randolph,≤50
2005,Richland,≤50
2005,Rock Island,≤50
2005,St. Clair,673
2005,Saline,≤50
2005,Sangamon,293
2005,Schuyler,≤50
2005,Scott,≤50
2005,Shelby,≤50
2005,Stark,≤50
2005,Stephenson,≤50
2005,Tazewell,180
2005,Union,≤50
2005,Vermilion,131
2005,Wabash,≤50
2005,Warren,≤50
2005,Washington,≤50
2005,Wayne,≤50
2005,White,≤50
2005,Whiteside,≤50
2005,Will,971
2005,Williamson,60
2005,Winnebago,528
2005,Woodford,≤50
2006,Adams,69
2006,Alexander,≤50
2006,Bond,≤50
2006,Boone,78
2006,Brown,≤50
2006,Bureau,60
2006,Calhoun,≤50
2006,Carroll,≤50
2006,Cass,≤50
2006,Champaign,425
2006,Christian,≤50
2006,Clark,≤50
2006,Clay,≤50
2006,Clinton,≤50
2006,Coles,58
2006,Cook,22691
2006,Crawford,≤50
2006,Cumberland,≤50
2006,DeKalb,160
2006,DeWitt,≤50
2006,Douglas,≤50
2006,DuPage,1831
2006,Edgar,≤50
2006,Edwards,≤50
2006,Effingham,≤50
2006,Fayette,≤50
2006,Ford,≤50
2006,Franklin,51
2006,Fulton,≤50
2006,Gallatin,≤50
2006,Greene,≤50
2006,Grundy,≤50
2006,Hamilton,≤50
2006,Hancock,≤50
2006,Hardin,≤50
2006,Henderson,≤50
2006,Henry,≤50
2006,Iroquois,≤50
2006,Jackson,92
2006,Jasper,≤50
2006,Jefferson,≤50
2006,Jersey,≤50
2006,Jo Daviess,≤50
2006,Johnson,≤50
2006,Kane,778
2006,Kankakee,109
2006,Kendall,80
2006,Knox,85
2006,Lake,1480
2006,LaSalle,173
2006,Lawrence,≤50
2006,Lee,≤50
2006,Livingston,≤50
2006,Logan,≤50
2006,McDonough,≤50
2006,McHenry,531
2006,McLean,352
2006,Macon,144
2006,Macoupin,≤50
2006,Madison,595
2006,Marion,57
2006,Marshall,≤50
2006,Mason,≤50
2006,Massac,≤50
2006,Menard,≤50
2006,Mercer,≤50
2006,Monroe,≤50
2006,Montgomery,≤50
2006,Morgan,≤50
2006,Moultrie,≤50
2006,Ogle,≤50
2006,Peoria,542
2006,Perry,≤50
2006,Piatt,≤50
2006,Pike,≤50
2006,Pope,≤50
2006,Pulaski,≤50
2006,Putnam,≤50
2006,Randolph,≤50
2006,Richland,≤50
2006,Rock Island,≤50
2006,St. Clair,705
2006,Saline,≤50
2006,Sangamon,357
2006,Schuyler,≤50
2006,Scott,≤50
2006,Shelby,≤50
2006,Stark,≤50
2006,Stephenson,74
2006,Tazewell,213
2006,Union,≤50
2006,Vermilion,112
2006,Wabash,≤50
2006,Warren,≤50
2006,Washington,≤50
2006,Wayne,≤50
2006,White,≤50
2006,Whiteside,≤50
2006,Will,892
2006,Williamson,75
2006,Winnebago,642
2006,Woodford,≤50
2007,Adams,58
2007,Alexander,≤50
2007,Bond,≤50
2007,Boone,82
2007,Brown,≤50
2007,Bureau,≤50
2007,Calhoun,≤50
2007,Carroll,≤50
2007,Cass,≤50
2007,Champaign,456
2007,Christian,≤50
2007,Clark,≤50
2007,Clay,≤50
2007,Clinton,≤50
2007,Coles,63
2007,Cook,22296
2007,Crawford,≤50
2007,Cumberland,≤50
2007,DeKalb,198
2007,DeWitt,≤50
